config_id,barcode,sku_id
VJAC-BANDANAPATCH,VJAC-BANDANAPATCH_L,V4799053148
VJAC-BANDANAPATCH,VJAC-BANDANAPATCH_M,V4530386635
VJAC-BANDANAPATCH,VJAC-BANDANAPATCH_XXL,V8631372231
THBA,8904469108029,TAP2339263448
THBA,8904469108043,TAP9848594930
BW_GOT_BARBARIC_CHARCOAL_01,30321586,GT2380079208
BW_GOT_BARBARIC_CHARCOAL_01,30421578,GT9674750329
BW_GOT_BARBARIC_CHARCOAL_01,30469231,GT4460814378
PF500582_purple,PF500582,PAP1887684915
Blaze__Blaze,PF500555,PAP6032878585
Breeze__Breeze,PF500512,PAP4202548196
Breeze__Breeze,PF500514,PAP7395810618
Breeze__Breeze,PF500515,PAP2557264776
Breeze__Breeze,PF500516,PAP1760550895
Breeze__Breeze,PF500517,PAP2211837545
Clay__Frost,PF500594,PAP2811490345
Clay__Frost,PF500596,PAP2085345232
PF500411_Brown,PF500413,PAP6287653605
PF500411_Brown,PF500414,PAP8948530850
PF500411_Brown,PF500415,PAP9421433033
Frost__Maroon,PF500491,PAP9640823186
Frost__Maroon,PF500495,PAP2320791428
Frost__Maroon,PF500496,PAP4616568632
Frost__Maroon,PF500497,PAP6295716842
Mist__Maroon,PF500422,PAP3704298397
Mist__Maroon,PF500425,PAP7225734187
Mulberry__Mocha,PF500471,PAP9024673605
Mulberry__Mocha,PF500473,PAP8485833385
Mulberry__Mocha,PF500476,PAP2853690803
VJAC-BOMWBJACKET,VJAC-BOMWBJACKET_M,V6976934743
BBDIABE,8908019400205,MSP1320433735
BBFLAXS,8908019400182,MSP4850363846
BBPAPAY,8908019400120,MSP9864834402
BBPSORI,8908019400458,MSP5667131604
BBPURIF,8908019400045,MSP1261171741
BBTRIPH,8908019400151,MSP9624828837
BBVITAM,8908019400236,MSP1907501033
BW_BEA_MILAR_GREEN_01,8905826411837,BHC3888440234
BW_BEA_MILAR_GREEN_01,8905826411844,BHC4133095424
BW_BEA_MILAR_GREEN_01,8905826411851,BHC2824827616
BW_BEA_MILAR_GREEN_01,8905826411875,BHC9078879808
BW_BEA_MILAR_GREEN_01,8905826411820,BHC5656683970
BOJAPBPG,8809738312872,LRP6032556508
BOJGLDESM,8809738312728,LRP4595204920
BOJGRPLRETON,8809968130123,LRP3622987058
BOJGRRIHOG,8809968130246,LRP6239716802
BOJRBWG,8809738316993,LRP7864318307
BOJRSAFR,8809968130277,LRP6114987235
BOJSRPSP,8809782555508,LRP6403634391
VJAC-BECOLHONBUN,VJAC-BECOLHONBUN_3XL,V8487671875
VJAC-BECOLHONBUN,VJAC-BECOLHONBUN_L,V9896561822
VJAC-BECOLHONBUN,VJAC-BECOLHONBUN_S,V8528761122
CABEKNITCOTO,8904468806902,CAP5359370858
CABEOFCA,8904468811791,CAP9405792424
CABEOFCA,8904468811807,CAP1608114814
CABEOFCA,8904468811821,CAP5461481003
CABEREFLPA,8904468808029,CAP4231311809
CABEREFLPA,8904468808036,CAP1312004009
CABEREFLPA,8904468808043,CAP6352118623
C224VTC103 _beige,C224VTC103-L,RCP8181369055
BLFN10E,8801051454352,HBP7592089750
BLFTCMB,803954412215,HBP6024639562
BLFUVPABSS,8801051494167,HBP7079137540
BW_STI_BELLARAINBOW_BLUE_01,SS-49,JMP4724068665
BW_STI_BELLARAINBOW_BLUE_01,SS-51,JMP8138441276
BW_STI_BELLARAINBOW_BLUE_01,SS-52,JMP1510692485
HABEBAMOEMSH,250009819,HLP5337907827
HABEBAMOEMSH,250009820,HLP3175712118
JAC-BERRYCOOL,JAC-BERRYCOOL_L,V8700613761
JAC-BERRYCOOL,JAC-BERRYCOOL_S,V4310514033
JAC-BERRYCOOL,JAC-BERRYCOOL_XL,V1064127126
BW_MAS_BERRYSTAR_PINK_01,NSPJRN-2159-M,BBB4408807538
BW_MAS_BERRYSTAR_PINK_01,NSPJRN-2159-S,BBB6445574508
BW_MAS_BERRYSTAR_PINK_01,NSSHRN-2162-L,BBB6563716595
BW_MAS_BERRYSTAR_PINK_01,NSSHRN-2162-M,BBB4291014561
BW_MAS_BERRYSTAR_PINK_01,NSSHRN-2162-XL,BBB6400951627
BW_CRA_BESTRONG_BLUE_01,8905202264446,HOB5370317964
BW_CRA_BESTRONG_BLUE_01,8905202264453,HOB5443915090
nebesetrse2m_de,8906182120869,NPP7409898273
CRXBHAPL,8809416470054,LRP5793139395
SIPL20051_WHITE,SIPL20051-WHITE-M,SIP6665123638
SIPL20051_WHITE,SIPL20051-WHITE-S,SIP4308953792
SIPL20051_WHITE,SIPL20051-WHITE-XL,SIP8316179406
SIPL20051_WHITE,SIPL20051-WHITE-XS,SIP6335301209
SIPL20051_WHITE,SIPL20051-WHITE-XXL,SIP6494292070
SIPL20050_WHITE,SIPL20050-WHITE-L,SIP5077830901
SIPL20050_WHITE,SIPL20050-WHITE-S,SIP3307385486
SIPL20050_WHITE,SIPL20050-WHITE-XS,SIP4299259748
SIPL20050_WHITE,SIPL20050-WHITE-XXL,SIP4307660362
JAC-BIG-WASADRM,JAC-BIG-WASADRM_XL,V6044405841
BIDCGTP2,8809937361190,LRP2246373974
BIDCRDM,8809937361060,LRP9136559137
BIDHCRDM,8809937360629,LRP4325874137
BIDPTCA,8809937360322,LRP2280868132
BIDSGEC,8809937360650,LRP5271698706
VJAC-BITDNTKILMYVIB,VJAC-BITDNTKILMYVIB_3XL,V9277288844
VJAC-BITDNTKILMYVIB,VJAC-BITDNTKILMYVIB_M,V2721219751
C224VTC102 _Black,C224VTC102-XL,RCP8702622658
C224VTC102 _Black,C224VTC102-XS,RCP8648224198
CABLAECOCRTA,8904468842597,CAP4375477368
CABLAECOCRTA,8904468842603,CAP1007662882
CABLAECOCRTA,8904468842634,CAP7138848169
CABLAECOCRTA,8904468842641,CAP6931565598
CABLAECOLE,8904468842801,CAP3473197025
CABLAECOLE,8904468842818,CAP5691850757
CABLAECOLE,8904468842825,CAP2596824243
CABLAIMEBO,8904468807121,CAP8377090104
CABLAIMEBO,8904468807138,CAP8720222879
CABLKALDAFLFLPA,8904468809965,CAP5126034876
CABLKALDAFLFLPA,8904468809989,CAP7015895516
CABLALDAFLTO,8904468808944,CAP6596926690
CABLALDAFLTO,8904468808975,CAP9430428596
CABLALINBOLE,8904468803451,CAP6318817321
CABLALINBOLE,8904468804717,CAP7275001805
CABLALINBOLE,8904468831492,CAP3161231828
CABLALINBOLE,8904468831508,CAP7923784905
CABLBETUTO,8904468803949,CAP9238287640
BW_MAS_BLACKBLOOM_BLACK_01,NSPJRN-2125-M,BBB5488402793
BW_MAS_BLACKBLOOM_BLACK_01,NSSHRN-2126-XL,BBB1079707228
CABLCASPOVPRTEWO,8904468851711,CAP4140006381
CABLCASPOVPRTEWO,8904468851728,CAP9989470668
CABLCASPOVPRTEWO,8904468851735,CAP7183425243
CABLCASPOVPRTEWO,8904468851742,CAP2933991833
CABLCASPOVPRTEWO,8904468851766,CAP9135121668
CABLCHRADRSH,8904468816611,CAP1001237136
CABLCHRADRSH,8904468816628,CAP5611119972
CABLCHRADRSH,8904468816635,CAP1210879672
CABLCHTSH,8904468815645,CAP3350638709
CABLCHTSH,8904468815669,CAP9211711740
